EntryNum1,FirstAuthLastName2,Year3,NumCites4,DatePulled5,Dbsource6,FullCite7,ScaleTitle8,CronAlpha9,NumItems10,Intermixed11,FirstValidation12,ItemTexts13,ScalePoints14,Instructions15,Notes16,jif17,Category18,EgoStatements19,,
11,Sullivan,1995,5764,2/22/2021,Google Scholar,"Sullivan, M. J. L., Bishop, S. R., & Pivik, J. (1995). The Pain Catastrophizing Scale: Development and validation. Psychological Assessment, 7(4), 524–532. https://doi-org.libezproxy2.syr.edu/10.1037/1040-3590.7.4.524",Pain Catastrophizing Scale All,0.87,13,FALSE,TRUE,I keep thinking about how badly I want the pain to stop. ; I anxiously want the pain to go away. ; I can't seem to keep it out of my mind. ; I keep thinking about how much it hurts. ; I wonder whether something serious may happen.; I become afraid that the pain may get worse. ; I think of other painful experiences.; I feel I can't go on. It's terrible and I think it's never going to get any better. ; I worry all the time about whether the pain will end. ; It's awful and I feel that it overwhelms me. ; I feel I can't stand it any more. ; There is nothing I can do to reduce the intensity of the pain.,5,"The PCS instructions asked participants to reflect on past painful experiences and to indicate the degree to which they experienced each of 13
 thoughts or feelings when experiencing pain on a 5-point scale from 0
 (not at all) to 4 (all the time)",The three other entries for this paper are the subscales of the overall survey,2.825,Biomedical,TRUE,,
12,Heatherton,1991,2560,1/18/2021,Google Scholar,"Heatherton, T. F., & Polivy, J. (1991). Development and validation of a scale for measuring state self-esteem. Journal of Personality and Social Psychology, 60(6), 895–910. https://doi-org.libezproxy2.syr.edu/10.1037/0022-3514.60.6.895",State Self-Esteem Scal,0.92,20,FALSE,TRUE,I feel confident about my abilities. ; I am worried about whether I am regarded as a success or failure. ; I feel satisfied with the way my body looks right now. ; I feel frustrated or rattled about my performance ; I feel that I am having trouble understanding things that I read.; I feel that others respect and admire me.; I am dissatisfied with my weight. ;. I feel self-conscious. ;I feel as smart as others. ; I feel displeased with myself.; I feel good about myself. ; I am pleased with my appearance right now. ; I am worried about what other people think of me.; I feel confident that I understand things. ; I feel inferior to others at this moment. ;. I feel unattractive. ; I feel concerned about the impression I am making.; I feel that I have less scholastic ability right now than others. ; I feel like I am not doing well. ; I am worried about looking foolish.,5,"This is a questionnaire designed to measure what you are thinking
 at this moment. There is, of course, no right answer for any statement. The best answer is what you feel is true of yourself at this
 moment. Be sure to answer all of the items, even if you are not
 certain of the best answer. Again, answer these questions as they
 are true for you RIGHT NOW
 Each item is scored on a 5-point scale (I = not at all, 2 = a little
 bit, 3 = somewhat, 4 = very much, and 5 = extremel",,5.91,Psychology,TRUE,,
13,Snyder,1997,1373,1/18/2021,Google Scholar,"C. R. Snyder, Betsy Hoza, William E. Pelham, Michael Rapoff, Leanne Ware, Michael Danovsky, Lori Highberger, Howard Ribinstein, Kandy J. Stahl, The Development and Validation of the Children’s Hope Scale, Journal of Pediatric Psychology, Volume 22, Issue 3, June 1997, Pages 399–421, https://doi.org/10.1093/jpepsy/22.3.399",Childrens Hope Scale,0.77,6,FALSE,TRUE,"I think I am doing pretty well; I can think of many ways to get the things in life that are most important to me; I am doing just as well as other kids my age; When I have a problem, I can come up with lots of ways to solve it; I think the things I have done in the past will help me in the future; Even when others want to quit I know that I can find ways to solve the problem",6,"Directions : The six sentences below describe how children think about themselves and how they do things in general. Read each sentence carefully . For each sentence, please think about how you are in most situations. Place a check inside the circle that describes YOU the best. For example, place a check (,/) in the circle (O ) above ""None of the time, "" if this describes you. Or, if you are this way “All the time, "" check this circle. Please answer every question by putting a check in one of the circles. There are no right or wrong answers .",,2.31,Psychology,TRUE,,
14,Fialko,2008,229,2/22/2021,Google Scholar,"Laura Fialko, Philippa A. Garety, Elizabeth Kuipers, Graham Dunn, Paul E. Bebbington, David Fowler, Daniel Freeman,
 A large-scale validation study of the Medication Adherence Rating Scale (MARS), Schizophrenia Research, Volume 100, Issues 1–3,2008, Pages 53-59,",Medication Adherence Rating Scale,0.6,10,FALSE,FALSE,"Do you ever forget to take your medication? ; Are you careless at times about taking medication?; When you feel better do you sometimes stop taking your medication?; Sometimes if you feel worse when you take the medicine do you stop taking it? ; I take my medication only when I am sick; It is unnatural for my mind and body to be controlled by medication ; My thoughts are clearer on medication; By staying on medication, I can prevent getting sick; I feel weird, like a zombie on medication; Medication makes me feel tired and sluggish",2,is a ten-item yes/no self-report instrument.,,3.759,Biomedical,FALSE,,
15,Rachmatullah,2020,2,1/18/2021,Google Scholar,"Rachmatullah, A., Wiebe, E., Boulden, D., Mott, B., Boyer, K., & Lester, J. (2020). Development and validation of the Computer Science Attitudes Scale for middle school students (MG-CS attitudes). Computers in Human Behavior Reports, 2, 100018.",MG-CS attitudes Self-efficacy,0.84,3,TRUE,TRUE,I would like to create new computer programs.; I am good at building computer programs.; I believe I can be successful in a career in programming.,5,"The items were all in Likert-scale type rated on five-point scales, from 1 (strongly disagree) to 5 (strongly agree).",,5.003,Education,TRUE,,
16,Rachmatullah,2020,2,1/18/2021,Google Scholar,"Rachmatullah, A., Wiebe, E., Boulden, D., Mott, B., Boyer, K., & Lester, J. (2020). Development and validation of the Computer Science Attitudes Scale for middle school students (MG-CS attitudes). Computers in Human Behavior Reports, 2, 100018.",MG-CS attitudes Outcome Expectancy,0.858,7,TRUE,TRUE,"If I learn programming, then I can improve things that people use every day.; I am good at fixing computer programs.; I am interested in what makes computers work.; Designing computer programs will be important for my future work.; I am curious about how computer programs work.; I would like to use creativity and innovation in my future work.; When I combine math and science, I can invent more useful computer programs.",5,"The items were all in Likert-scale type rated on five-point scales, from 1 (strongly disagree) to 5 (strongly agree).",,5.003,Education,TRUE,,
17,Holden,2001,237,1/18/2021,Google Scholar,"Holden, R. R., Mehta, K., Cunningham, E. J., & McLeod, L. D. (2001). Development and preliminary validation of a scale of psychache. Canadian Journal of Behavioural Science / Revue canadienne des sciences du comportement, 33(4), 224–232. https://doi.org/10.1037/h0087144",The Psychache Scale,0.92,13,FALSE,TRUE,"I feel psychological pain.; I seem to ache inside.; My psychological pain seems worse than any physical pain.; My pain makes me want to scream.; My pain makes my life seem dark.; I can't understand why I suffer.; Psychologically, I feel terrible.; I hurt because I feel empty.; My soul aches.; I can't take my pain any more.; Because of my pain, my situation is impossible.; My pain is making me fall apart.; My psychological pain affects everything I do.;",5,"The following statements refer to your psychological pain, NOT your physical pain. (item 1~9)By circling the appropriate number, please indicate how frequently each of the following occur. 1 Never 2 Sometimes 3 Often 4 Very Often 5 Always. /// (Item 10~13)Please continue this inventory using the following scale: 1 = Strongly Disagree 2 = Disagree 3 = Unsure 4 = Agree 5 = Strongly Agree",,0.9,Psychology,TRUE,,
18,Hare,1996,139,1/18/2021,Google Scholar,"Hare, D. L., & Davis, C. R. (1996). Cardiac Depression Scale: validation of a new depression scale for cardiac patients. Journal of psychosomatic research, 40(4), 379-386.",DimensionA,0.87,19,TRUE,TRUE,My sleep is restless and disturbed;I wake up in the early hours of the morning and cannot get back to sleep;My problems are not yet over;I am concerned about the uncertainty of my health;Things which I regret about my life are bothering me;I may not recover properly;I am not the person I used to be;The possibility of sudden death worries me;I lose my temper more easily nowdays;l seem to get more easily irritated by others than before;I feel frustrated;I become tearful more easily than before;I am concerned about my capacity for sexual activity;There is only misery in the future for me;Dying is the best solution for me;I feel like I am living on borrowed time;I have dropped many of my interests and activities;I can't be bothered doing anything much;I get hardly anything done now,7,none,The final scale consisted of 26 items (ct reliability coefficient 0.90) in 2 robust dimensions and 7 subscales,2.41,Psychology,TRUE,,
19,Hare,1996,139,1/18/2021,Google Scholar,"Hare, D. L., & Davis, C. R. (1996). Cardiac Depression Scale: validation of a new depression scale for cardiac patients. Journal of psychosomatic research, 40(4), 379-386.",DimensionA_1,0.77,2,TRUE,TRUE,My sleep is restless and disturbed; I wake up in the early hours of the morning and cannot get back to sleep,7,,,2.41,Psychology,TRUE,,
20,Hare,1996,139,1/18/2021,Google Scholar,"Hare, D. L., & Davis, C. R. (1996). Cardiac Depression Scale: validation of a new depression scale for cardiac patients. Journal of psychosomatic research, 40(4), 379-386.",DimensionA_3,0.76,6,TRUE,TRUE,My problems are not yet over; I am concerned about the uncertainty of my health; Things which I regret about my life are bothering me;I may not recover properly; I am not the person I used to be; The possibility of sudden death worries me ,7,,,2.41,Psychology,TRUE,,
21,Hare,1996,139,1/18/2021,Google Scholar,"Hare, D. L., & Davis, C. R. (1996). Cardiac Depression Scale: validation of a new depression scale for cardiac patients. Journal of psychosomatic research, 40(4), 379-386.",DimensionA_4,0.79,5,TRUE,TRUE,I lose my temper more easily nowdays; l seem to get more easily irritated by others than before; I feel frustrated;I become tearful more easily than before; I am concerned about my capacity for sexual activity,7,,,2.41,Psychology,TRUE,,
22,Hare,1996,139,1/18/2021,Google Scholar,"Hare, D. L., & Davis, C. R. (1996). Cardiac Depression Scale: validation of a new depression scale for cardiac patients. Journal of psychosomatic research, 40(4), 379-386.",DimensionA_6,0.67,3,TRUE,TRUE,There is only misery in the future for me; Dying is the best solution for me; I feel like I am living on borrowed time,7,,,2.41,Psychology,TRUE,,
23,Hare,1996,139,1/18/2021,Google Scholar,"Hare, D. L., & Davis, C. R. (1996). Cardiac Depression Scale: validation of a new depression scale for cardiac patients. Journal of psychosomatic research, 40(4), 379-386.",DimensionA_8,0.7,3,TRUE,TRUE,I have dropped many of my interests and activities; I can't be bothered doing anything much; I get hardly anything done now,7,,,2.41,Psychology,TRUE,,
24,Hare,1996,139,1/18/2021,Google Scholar,"Hare, D. L., & Davis, C. R. (1996). Cardiac Depression Scale: validation of a new depression scale for cardiac patients. Journal of psychosomatic research, 40(4), 379-386.",DimensionB,0.85,7,TRUE,TRUE,I get pleasure from life at present; I feel in good spirits; I gain just as much pleasure from my leisure activities as I used to; My memory is as good as it always was; My mind is as fast and alert as always; My concentration is as good as it ever was; I feel independent and in control of my life,7,,,2.41,Psychology,TRUE,,
25,Hare,1996,139,1/18/2021,Google Scholar,"Hare, D. L., & Davis, C. R. (1996). Cardiac Depression Scale: validation of a new depression scale for cardiac patients. Journal of psychosomatic research, 40(4), 379-386.",DimensionB_2,0.83,3,TRUE,TRUE,I get pleasure from life at present; I feel in good spirits; I gain just as much pleasure from my leisure activities as I used to,7,,,2.41,Psychology,TRUE,,
26,Hare,1996,139,1/18/2021,Google Scholar,"Hare, D. L., & Davis, C. R. (1996). Cardiac Depression Scale: validation of a new depression scale for cardiac patients. Journal of psychosomatic research, 40(4), 379-386.",DimensionB_5,0.77,4,TRUE,TRUE,My memory is as good as it always was; My mind is as fast and alert as always; My concentration is as good as it ever was; I feel independent and in control of my life,7,,,2.41,Psychology,TRUE,,
27,Bennett,2010,142,1/18/2021,Google Scholar,"Bennett, C., Graham, I. D., Kristjansson, E., Kearing, S. A., Clay, K. F., & O’Connor, A. M. (2010). Validation of a preparation for decision making scale. Patient education and counseling, 78(1), 130-133.",Preparation for Decision Making,0.94,10,FALSE,FALSE,Help you recognize that a decision needs to be made?; Prepare you to make a better decision?; Help you think about the pros and cons of each option?; Help you think about which pros and cons are most important?; Help you know that the decision depends on what matters most to you?; Help you organize your own thoughts about the decision?; Help you think about how involved you want to be in this decision?; Help you identify questions you want to ask your doctor?; Prepare you to talk to your doctor about what matters most to you?; Prepare you for a follow-up visit with your doctor?;,5,"Preparation for Decision Making scale
 
 Please show your opinion of [the educational material] by circling the number to show how much you agree with each statement.",,2.607,Biomedical,FALSE,,
28,Yesavage,1983,15461,1/18/2021,Google Scholar,"Yesavage JA, Brink TL, Rose TL, Lum O, Huang V, Adey M, Leirer VO. Development and validation of a geriatric depression screening scale: a preliminary report. J Psychiatr Res. 1982-1983;17(1):37-49. doi: 10.1016/0022-3956(82)90033-4. PMID: 7183759.",GERIATRIC DEPRESSION SCAL,0.94,30,FALSE,TRUE,"Are you basically satisfied with your life?; Have you dropped many of your activities and interests?; Do you feel that your life is empty?; Do you often get bored?; Are you hopeful about the future?; Are you bothered by thoughts you can’t get out of your head?; Are you in good spirits most of the time?; Are you afraid that something bad is going to happen to you?; Do you feel happy most of the time?; Do you often feel helpless?; Do you often get restless and fidgety?; Do you prefer to stay at home, rather than going out and doing new things?; Do you frequently worry about the future?; Do you feel you have more problems with memory than most?; Do you think it is wonderful to be alive now?; Do you often feel downhearted and blue?; Do you feel pretty worthless the way you are now?; Do you worry a lot about the past?; Do you find life very exciting?; Is it hard for you to get started on new projects?; Do you feel full of energy?; Do you feel that your situation is hopeless?; Do you think that most people are better off than you are?; Do you frequently get upset over little things?; Do you frequently feel like crying?; Do you have trouble concentrating?; Do you enjoy getting up in the ignorning?; Do you prefer to avoid social gatherings?; Is it easy for you to make decisions?; Is your mind as clear as it used to be?",2,Choose the best answer for how you felt over the past week,,3.745,Psychology,FALSE,,
29,Wallston,1976,1700,1/18/2021,Google Scholar,"Wallston, B. S., Wallston, K. A., Kaplan, G. D.., & Maides, S. A. (1976). Development and validation of the Health Locus of Control (HLC) Scale. Journal of Consulting and Clinical Psychology, 44(4), 580–585. https://doi.org/10.1037/0022-006X.44.4.580",Health Loeusof Control (HLC),0.72,11,FALSE,TRUE,"If I take care of myself, I can avoid illness; Whenever I get sick it is because of something I've done or not done.; Good health is largely a matter of good fortune.; No matter what I do, if I am going to get sick I will get sick.; Most people do not realize the extent to which their illnesses are controlled by accidental happenings.; I can only do what my doctor tells me to do.; There are so many strange diseases around that you can never know how or when you might pick one up.; When I feel ill, I know it is because I have not been getting the proper exercise or eating right.; People who never get sick are just plain lucky.; People's ill health results from their own carelessness.; I am directly responsible for my health.",6,none,,4.632,Biomedical,TRUE,,
30,Cramm,2011,13,02-06-2021,Google Scholar,"Cramm, J. M., Strating, M. M., & Nieboer, A. P. (2011). Validation of the caregivers’ Satisfaction with Stroke Care Questionnaire: C-SASC hospital scale. Journal of neurology, 258(6), 1008-1012.",C-SASC hospital scale,0.85,11,FALSE,FALSE,"I have been treated with kindness and respect by the staff at the hospital; The staff attended to my personal needs while I was in hospital and tried to support me as much as possible; I was able to talk to the staff about any problems I might have had; I received all the information I wanted to about the causes and nature of the illness of the patient I take care of; The doctors did everything they could to make the patient I take care of well again; I am happy with the level of recovery the patient I take care of has made; I am satisfied with the type of treatment the therapists have given the patient I take care of (e.g., physiotherapy, speech therapy, occupational therapy); The patient I take care of has had sufficient therapy (e.g., physiotherapy, speech therapy, occupational therapy); The patient I take care of has been treated with kindness and respect by hospital staff; The hospitalization process went smoothly; I received all the information I wanted to about recovery and rehabilitation after a stroke",4,Caregivers indicated their agreement with each item on a four-point scale ranging from 0 (strongly disagree) to 3 (strongly agree); higher total scores indicate greater satisfaction,,3.956,Biomedical,TRUE,,
31,Hashimoto,2010,24,02-06-2021,Google Scholar,"Hashimoto, H., Shiokawa, H., Funahashi, K., Saito, N., Sawada, T., Shirouzu, K., ... & Teramoto, T. (2010). Development and validation of a modified fecal incontinence quality of life scale for Japanese patients after intersphincteric resection for very low rectal cancer. Journal of gastroenterology, 45(9), 928-935.",Fecal Incontinence Quality of Life (FIQL),0.955,14,FALSE,FALSE,"I am afraid to go out; I avoid visiting friends; I avoid staying overnight away from home; It is difficult for me to get out and do things like going to a movie or theater; I cut down on how much I eat before I go out; Whenever I am away from home, I try to stay near a restroom as much as possible; It is important to plan my schedule (daily activities) around my bowel pattern; I can not do many of things I want to do; I avoid traveling by plane or train; I worry about not being able to get to the toilet in time; I avoid going out to eat; I cannot get to sleep, or wake up during the night; The possibility of bowel accidents is always on my mind; Whenever I go someplace new, I specifically locate where the bathrooms are",4,A self-administered questionnaire that included the modified FIQL scale was distributed to the subjects to collect subjective data.,,6.132,Biomedical,TRUE,,
32,Koschate-Fisher,2015,2,02-06-2021,Google Scholar,"Koschate-Fischer, N., & Gartner, S. (2015). Brand trust: Scale development and validation. Schmalenbach Business Review, 67(2), 171-195.",Brand Trust ,0.94,5,FALSE,TRUE,I am confident in brands ability to perform well.; I trust brand; I rely on brand.; Brand is safe.; Brand delivers what it promises.;,5,NA,Brand Trust,0,Business,TRUE,,
33,Mahfoud,2011,10,02-06-2021,Google Scholar,"Mahfoud, Z., Abdulrahim, S., Taha, M. B., Harpham, T., El Hajj, T., Makhoul, J., ... & Afifi, R. (2011). Validation of the Arab Youth Mental Health scale as a screening tool for depression/anxiety in Lebanese children. Child and Adolescent Psychiatry and Mental Health, 5(1), 1-7.",Arab Youth Mental Health (AYMH),0.86,21,FALSE,FALSE,"During the last week I was upset; During the last week I burst into tears several times; During the last week I was feeling scared and frightened; During the last week I felt suffocated; During the last week my sleep was interrupted because I was thinking of so many things; During the last week I was tense and nervous; During the last week I felt lonely; During the last week I was sad; During the last week I was worried; During the last week I was having difficulty concentrating on what I was doing; During the last week I felt dizzy/light headed; During the last week I didn’t feel like talking; During the last week I was bored and I hated my life; During the last week I didn’t have any hope for the future; During the last week I was fighting for no particular reason; During the last week I was bored and I had nothing to do; During the last week I was having thoughts of death; During the last week I was feeling emotionally drained; During the last week my heart was beating fast even without doing any type of sports; During the last week I was feeling fidgety and moving a lot. I couldn’t sit still for a long time without any particular reason; During the last week, I was having a lot of headaches, stomach-aches, and nausea",3,"on a three-point Likert scale - rarely (one star), sometimes (two stars), and always (three stars).",The scale measured both depression and anxiety but under one scale,2.348,Psychology,TRUE,,
34,Makenzius,2019,3,02-06-2021,Google Scholar,"Makenzius, M., McKinney, G., Oguttu, M., & Romild, U. (2019). Stigma related to contraceptive use and abortion in Kenya: scale development and validation. Reproductive health, 16(1), 1-10.","Negative sterotyping of women, ASABA",0.67,8,FALSE,TRUE,"A girl who has an induced abortion is committing a sin; Once a girl has one abortion, she will make it a habit.; A girl who has an abortion cannot be trusted.; A girl who has an abortion brings shame to her family.; The health of a girl who has an abortion is never as good as it was before the abortion.; A girl who has had an abortion might be a bad influence on other women.; A girl who has an abortion will be a bad mother.; A girl who has an abortion brings shame to her community",5,five-point Likert scale.,"Negative sterotyping of women, ASABA",1.662,Biomedical,FALSE,,
35,Makenzius,2019,3,02-06-2021,Google Scholar,"Makenzius, M., McKinney, G., Oguttu, M., & Romild, U. (2019). Stigma related to contraceptive use and abortion in Kenya: scale development and validation. Reproductive health, 16(1), 1-10.","Negative sterotyping of women, SABA",0.85,8,FALSE,TRUE,"A woman who has an induced abortion is committing a sin; Once a woman has one abortion, she will make it a habit.; A woman who has an abortion cannot be trusted.; A woman who has an abortion brings shame to her family.; The health of a woman who has an abortion is never as good as it was before the abortion.; A woman who has had an abortion might be a bad influence on other women.; A woman who has an abortion will be a bad mother.; A woman who has an abortion brings shame to her community",5,five-point Likert scale.,"Negative sterotyping of women, SABA",1.662,Biomedical,FALSE,,
36,Makenzius,2019,3,02-06-2021,Google Scholar,"Makenzius, M., McKinney, G., Oguttu, M., & Romild, U. (2019). Stigma related to contraceptive use and abortion in Kenya: scale development and validation. Reproductive health, 16(1), 1-10.","Exclusion and discrimination, ASABA",0.7,8,FALSE,TRUE,A girl who has had an abortion should be prohibited from going to religious services.; A girl who has had an abortion should be teased so that she will be ashamed about her decision.; A girl should be disgraced in my community if she has had an abortion.; A man should not marry a woman who has had an abortion.; A girl who has had an abortion should no longer be associated with me.; A girl who had an abortion should be pointed fingers at so that other people would know what she has done.; A girl who has an abortion should not be treated the same as everyone else.,5,five-point Likert scale.,"Exclusion and discrimination, ASABA",1.662,Biomedical,FALSE,,
37,Makenzius,2019,3,02-06-2021,Google Scholar,"Makenzius, M., McKinney, G., Oguttu, M., & Romild, U. (2019). Stigma related to contraceptive use and abortion in Kenya: scale development and validation. Reproductive health, 16(1), 1-10.","Exclusion and discrimination, SABA",0.8,8,FALSE,TRUE,A woman who has had an abortion should be prohibited from going to religious services.; I would tease a woman who has had an abortion so that she will be ashamed about her decision.; I would try to disgrace a woman in my community if I found out she had an abortion.; A man should not marry a woman who has had an abortion because she may not be able to bear children.; I would stop being friends with someone if I found out that she had an abortion.; I would point my fingers at a woman who had an abortion so that other people would know what she has done.; A woman who has an abortion should not be treated the same as everyone else.,5,five-point Likert scale.,"Exclusion and discrimination, SABA",1.662,Biomedical,FALSE,,
